statefip,year,state,year_enacted,has_state_eitc,cohort,time_since_treat,rate_2024,refundable
10,1994,Delaware,2005,0,2005,-11,20,1
10,1995,Delaware,2005,0,2005,-10,20,1
10,1996,Delaware,2005,0,2005,-9,20,1
10,1997,Delaware,2005,0,2005,-8,20,1
10,1998,Delaware,2005,0,2005,-7,20,1
10,1999,Delaware,2005,0,2005,-6,20,1
10,2000,Delaware,2005,0,2005,-5,20,1
10,2001,Delaware,2005,0,2005,-4,20,1
10,2002,Delaware,2005,0,2005,-3,20,1
10,2003,Delaware,2005,0,2005,-2,20,1
10,2004,Delaware,2005,0,2005,-1,20,1
10,2005,Delaware,2005,1,2005,0,20,1
10,2006,Delaware,2005,1,2005,1,20,1
10,2007,Delaware,2005,1,2005,2,20,1
10,2008,Delaware,2005,1,2005,3,20,1
10,2009,Delaware,2005,1,2005,4,20,1
10,2010,Delaware,2005,1,2005,5,20,1
10,2011,Delaware,2005,1,2005,6,20,1
10,2012,Delaware,2005,1,2005,7,20,1
10,2013,Delaware,2005,1,2005,8,20,1
10,2014,Delaware,2005,1,2005,9,20,1
10,2015,Delaware,2005,1,2005,10,20,1
10,2016,Delaware,2005,1,2005,11,20,1
10,2017,Delaware,2005,1,2005,12,20,1
10,2018,Delaware,2005,1,2005,13,20,1
10,2019,Delaware,2005,1,2005,14,20,1
10,2020,Delaware,2005,1,2005,15,20,1
10,2021,Delaware,2005,1,2005,16,20,1
10,2022,Delaware,2005,1,2005,17,20,1
10,2023,Delaware,2005,1,2005,18,20,1
11,1990,District of Columbia,2000,0,2000,-10,70,1
11,1991,District of Columbia,2000,0,2000,-9,70,1
11,1992,District of Columbia,2000,0,2000,-8,70,1
11,1993,District of Columbia,2000,0,2000,-7,70,1
11,1994,District of Columbia,2000,0,2000,-6,70,1
11,1995,District of Columbia,2000,0,2000,-5,70,1
11,1996,District of Columbia,2000,0,2000,-4,70,1
11,1997,District of Columbia,2000,0,2000,-3,70,1
11,1998,District of Columbia,2000,0,2000,-2,70,1
11,1999,District of Columbia,2000,0,2000,-1,70,1
11,2000,District of Columbia,2000,1,2000,0,70,1
11,2001,District of Columbia,2000,1,2000,1,70,1
11,2002,District of Columbia,2000,1,2000,2,70,1
11,2003,District of Columbia,2000,1,2000,3,70,1
11,2004,District of Columbia,2000,1,2000,4,70,1
11,2005,District of Columbia,2000,1,2000,5,70,1
11,2006,District of Columbia,2000,1,2000,6,70,1
11,2007,District of Columbia,2000,1,2000,7,70,1
11,2008,District of Columbia,2000,1,2000,8,70,1
11,2009,District of Columbia,2000,1,2000,9,70,1
11,2010,District of Columbia,2000,1,2000,10,70,1
11,2011,District of Columbia,2000,1,2000,11,70,1
11,2012,District of Columbia,2000,1,2000,12,70,1
11,2013,District of Columbia,2000,1,2000,13,70,1
11,2014,District of Columbia,2000,1,2000,14,70,1
11,2015,District of Columbia,2000,1,2000,15,70,1
11,2016,District of Columbia,2000,1,2000,16,70,1
11,2017,District of Columbia,2000,1,2000,17,70,1
11,2018,District of Columbia,2000,1,2000,18,70,1
11,2019,District of Columbia,2000,1,2000,19,70,1
11,2020,District of Columbia,2000,1,2000,20,70,1
11,2021,District of Columbia,2000,1,2000,21,70,1
11,2022,District of Columbia,2000,1,2000,22,70,1
11,2023,District of Columbia,2000,1,2000,23,70,1
12,1990,Florida,NA,0,Inf,NA,0,NA
12,1991,Florida,NA,0,Inf,NA,0,NA
12,1992,Florida,NA,0,Inf,NA,0,NA
12,1993,Florida,NA,0,Inf,NA,0,NA
12,1994,Florida,NA,0,Inf,NA,0,NA
12,1995,Florida,NA,0,Inf,NA,0,NA
12,1996,Florida,NA,0,Inf,NA,0,NA
12,1997,Florida,NA,0,Inf,NA,0,NA
12,1998,Florida,NA,0,Inf,NA,0,NA
12,1999,Florida,NA,0,Inf,NA,0,NA
12,2000,Florida,NA,0,Inf,NA,0,NA
12,2001,Florida,NA,0,Inf,NA,0,NA
12,2002,Florida,NA,0,Inf,NA,0,NA
12,2003,Florida,NA,0,Inf,NA,0,NA
12,2004,Florida,NA,0,Inf,NA,0,NA
12,2005,Florida,NA,0,Inf,NA,0,NA
12,2006,Florida,NA,0,Inf,NA,0,NA
12,2007,Florida,NA,0,Inf,NA,0,NA
12,2008,Florida,NA,0,Inf,NA,0,NA
12,2009,Florida,NA,0,Inf,NA,0,NA
12,2010,Florida,NA,0,Inf,NA,0,NA
12,2011,Florida,NA,0,Inf,NA,0,NA
12,2012,Florida,NA,0,Inf,NA,0,NA
12,2013,Florida,NA,0,Inf,NA,0,NA
12,2014,Florida,NA,0,Inf,NA,0,NA
12,2015,Florida,NA,0,Inf,NA,0,NA
12,2016,Florida,NA,0,Inf,NA,0,NA
12,2017,Florida,NA,0,Inf,NA,0,NA
12,2018,Florida,NA,0,Inf,NA,0,NA
12,2019,Florida,NA,0,Inf,NA,0,NA
12,2020,Florida,NA,0,Inf,NA,0,NA
12,2021,Florida,NA,0,Inf,NA,0,NA
12,2022,Florida,NA,0,Inf,NA,0,NA
12,2023,Florida,NA,0,Inf,NA,0,NA
13,1990,Georgia,NA,0,Inf,NA,0,NA
13,1991,Georgia,NA,0,Inf,NA,0,NA
13,1992,Georgia,NA,0,Inf,NA,0,NA
13,1993,Georgia,NA,0,Inf,NA,0,NA
13,1994,Georgia,NA,0,Inf,NA,0,NA
13,1995,Georgia,NA,0,Inf,NA,0,NA
13,1996,Georgia,NA,0,Inf,NA,0,NA
13,1997,Georgia,NA,0,Inf,NA,0,NA
13,1998,Georgia,NA,0,Inf,NA,0,NA
13,1999,Georgia,NA,0,Inf,NA,0,NA
13,2000,Georgia,NA,0,Inf,NA,0,NA
13,2001,Georgia,NA,0,Inf,NA,0,NA
13,2002,Georgia,NA,0,Inf,NA,0,NA
13,2003,Georgia,NA,0,Inf,NA,0,NA
13,2004,Georgia,NA,0,Inf,NA,0,NA
13,2005,Georgia,NA,0,Inf,NA,0,NA
13,2006,Georgia,NA,0,Inf,NA,0,NA
13,2007,Georgia,NA,0,Inf,NA,0,NA
13,2008,Georgia,NA,0,Inf,NA,0,NA
13,2009,Georgia,NA,0,Inf,NA,0,NA
13,2010,Georgia,NA,0,Inf,NA,0,NA
13,2011,Georgia,NA,0,Inf,NA,0,NA
13,2012,Georgia,NA,0,Inf,NA,0,NA
13,2013,Georgia,NA,0,Inf,NA,0,NA
13,2014,Georgia,NA,0,Inf,NA,0,NA
13,2015,Georgia,NA,0,Inf,NA,0,NA
13,2016,Georgia,NA,0,Inf,NA,0,NA
13,2017,Georgia,NA,0,Inf,NA,0,NA
13,2018,Georgia,NA,0,Inf,NA,0,NA
13,2019,Georgia,NA,0,Inf,NA,0,NA
13,2020,Georgia,NA,0,Inf,NA,0,NA
13,2021,Georgia,NA,0,Inf,NA,0,NA
13,2022,Georgia,NA,0,Inf,NA,0,NA
13,2023,Georgia,NA,0,Inf,NA,0,NA
15,1990,Hawaii,2017,0,2017,-27,40,1
15,1991,Hawaii,2017,0,2017,-26,40,1
15,1992,Hawaii,2017,0,2017,-25,40,1
15,1993,Hawaii,2017,0,2017,-24,40,1
15,1994,Hawaii,2017,0,2017,-23,40,1
15,1995,Hawaii,2017,0,2017,-22,40,1
15,1996,Hawaii,2017,0,2017,-21,40,1
15,1997,Hawaii,2017,0,2017,-20,40,1
15,1998,Hawaii,2017,0,2017,-19,40,1
15,1999,Hawaii,2017,0,2017,-18,40,1
15,2000,Hawaii,2017,0,2017,-17,40,1
15,2001,Hawaii,2017,0,2017,-16,40,1
15,2002,Hawaii,2017,0,2017,-15,40,1
15,2003,Hawaii,2017,0,2017,-14,40,1
15,2004,Hawaii,2017,0,2017,-13,40,1
15,2005,Hawaii,2017,0,2017,-12,40,1
15,2006,Hawaii,2017,0,2017,-11,40,1
15,2007,Hawaii,2017,0,2017,-10,40,1
15,2008,Hawaii,2017,0,2017,-9,40,1
15,2009,Hawaii,2017,0,2017,-8,40,1
15,2010,Hawaii,2017,0,2017,-7,40,1
15,2011,Hawaii,2017,0,2017,-6,40,1
15,2012,Hawaii,2017,0,2017,-5,40,1
15,2013,Hawaii,2017,0,2017,-4,40,1
15,2014,Hawaii,2017,0,2017,-3,40,1
15,2015,Hawaii,2017,0,2017,-2,40,1
15,2016,Hawaii,2017,0,2017,-1,40,1
15,2017,Hawaii,2017,1,2017,0,40,1
15,2018,Hawaii,2017,1,2017,1,40,1
15,2019,Hawaii,2017,1,2017,2,40,1
15,2020,Hawaii,2017,1,2017,3,40,1
15,2021,Hawaii,2017,1,2017,4,40,1
15,2022,Hawaii,2017,1,2017,5,40,1
15,2023,Hawaii,2017,1,2017,6,40,1
16,1990,Idaho,NA,0,Inf,NA,0,NA
16,1991,Idaho,NA,0,Inf,NA,0,NA
16,1992,Idaho,NA,0,Inf,NA,0,NA
16,1993,Idaho,NA,0,Inf,NA,0,NA
16,1994,Idaho,NA,0,Inf,NA,0,NA
16,1995,Idaho,NA,0,Inf,NA,0,NA
16,1996,Idaho,NA,0,Inf,NA,0,NA
16,1997,Idaho,NA,0,Inf,NA,0,NA
16,1998,Idaho,NA,0,Inf,NA,0,NA
16,1999,Idaho,NA,0,Inf,NA,0,NA
16,2000,Idaho,NA,0,Inf,NA,0,NA
16,2001,Idaho,NA,0,Inf,NA,0,NA
16,2002,Idaho,NA,0,Inf,NA,0,NA
16,2003,Idaho,NA,0,Inf,NA,0,NA
16,2004,Idaho,NA,0,Inf,NA,0,NA
16,2005,Idaho,NA,0,Inf,NA,0,NA
16,2006,Idaho,NA,0,Inf,NA,0,NA
16,2007,Idaho,NA,0,Inf,NA,0,NA
16,2008,Idaho,NA,0,Inf,NA,0,NA
16,2009,Idaho,NA,0,Inf,NA,0,NA
16,2010,Idaho,NA,0,Inf,NA,0,NA
16,2011,Idaho,NA,0,Inf,NA,0,NA
16,2012,Idaho,NA,0,Inf,NA,0,NA
16,2013,Idaho,NA,0,Inf,NA,0,NA
16,2014,Idaho,NA,0,Inf,NA,0,NA
16,2015,Idaho,NA,0,Inf,NA,0,NA
16,2016,Idaho,NA,0,Inf,NA,0,NA
16,2017,Idaho,NA,0,Inf,NA,0,NA
16,2018,Idaho,NA,0,Inf,NA,0,NA
16,2019,Idaho,NA,0,Inf,NA,0,NA
16,2020,Idaho,NA,0,Inf,NA,0,NA
16,2021,Idaho,NA,0,Inf,NA,0,NA
16,2022,Idaho,NA,0,Inf,NA,0,NA
16,2023,Idaho,NA,0,Inf,NA,0,NA
17,1990,Illinois,2000,0,2000,-10,20,1
17,1991,Illinois,2000,0,2000,-9,20,1
17,1992,Illinois,2000,0,2000,-8,20,1
17,1993,Illinois,2000,0,2000,-7,20,1
17,1994,Illinois,2000,0,2000,-6,20,1
17,1995,Illinois,2000,0,2000,-5,20,1
17,1996,Illinois,2000,0,2000,-4,20,1
17,1997,Illinois,2000,0,2000,-3,20,1
17,1998,Illinois,2000,0,2000,-2,20,1
17,1999,Illinois,2000,0,2000,-1,20,1
17,2000,Illinois,2000,1,2000,0,20,1
17,2001,Illinois,2000,1,2000,1,20,1
17,2002,Illinois,2000,1,2000,2,20,1
17,2003,Illinois,2000,1,2000,3,20,1
17,2004,Illinois,2000,1,2000,4,20,1
17,2005,Illinois,2000,1,2000,5,20,1
17,2006,Illinois,2000,1,2000,6,20,1
17,2007,Illinois,2000,1,2000,7,20,1
17,2008,Illinois,2000,1,2000,8,20,1
17,2009,Illinois,2000,1,2000,9,20,1
17,2010,Illinois,2000,1,2000,10,20,1
17,2011,Illinois,2000,1,2000,11,20,1
17,2012,Illinois,2000,1,2000,12,20,1
17,2013,Illinois,2000,1,2000,13,20,1
17,2014,Illinois,2000,1,2000,14,20,1
17,2015,Illinois,2000,1,2000,15,20,1
17,2016,Illinois,2000,1,2000,16,20,1
17,2017,Illinois,2000,1,2000,17,20,1
17,2018,Illinois,2000,1,2000,18,20,1
17,2019,Illinois,2000,1,2000,19,20,1
17,2020,Illinois,2000,1,2000,20,20,1
17,2021,Illinois,2000,1,2000,21,20,1
17,2022,Illinois,2000,1,2000,22,20,1
17,2023,Illinois,2000,1,2000,23,20,1
18,1990,Indiana,1999,0,1999,-9,10,1
18,1991,Indiana,1999,0,1999,-8,10,1
18,1992,Indiana,1999,0,1999,-7,10,1
18,1993,Indiana,1999,0,1999,-6,10,1
18,1994,Indiana,1999,0,1999,-5,10,1
18,1995,Indiana,1999,0,1999,-4,10,1
18,1996,Indiana,1999,0,1999,-3,10,1
18,1997,Indiana,1999,0,1999,-2,10,1
18,1998,Indiana,1999,0,1999,-1,10,1
18,1999,Indiana,1999,1,1999,0,10,1
18,2000,Indiana,1999,1,1999,1,10,1
18,2001,Indiana,1999,1,1999,2,10,1
18,2002,Indiana,1999,1,1999,3,10,1
18,2003,Indiana,1999,1,1999,4,10,1
18,2004,Indiana,1999,1,1999,5,10,1
18,2005,Indiana,1999,1,1999,6,10,1
18,2006,Indiana,1999,1,1999,7,10,1
18,2007,Indiana,1999,1,1999,8,10,1
18,2008,Indiana,1999,1,1999,9,10,1
18,2009,Indiana,1999,1,1999,10,10,1
18,2010,Indiana,1999,1,1999,11,10,1
18,2011,Indiana,1999,1,1999,12,10,1
18,2012,Indiana,1999,1,1999,13,10,1
18,2013,Indiana,1999,1,1999,14,10,1
18,2014,Indiana,1999,1,1999,15,10,1
18,2015,Indiana,1999,1,1999,16,10,1
18,2016,Indiana,1999,1,1999,17,10,1
18,2017,Indiana,1999,1,1999,18,10,1
18,2018,Indiana,1999,1,1999,19,10,1
18,2019,Indiana,1999,1,1999,20,10,1
18,2020,Indiana,1999,1,1999,21,10,1
18,2021,Indiana,1999,1,1999,22,10,1
18,2022,Indiana,1999,1,1999,23,10,1
18,2023,Indiana,1999,1,1999,24,10,1
19,1990,Iowa,1989,1,1989,1,15,1
19,1991,Iowa,1989,1,1989,2,15,1
19,1992,Iowa,1989,1,1989,3,15,1
19,1993,Iowa,1989,1,1989,4,15,1
19,1994,Iowa,1989,1,1989,5,15,1
19,1995,Iowa,1989,1,1989,6,15,1
19,1996,Iowa,1989,1,1989,7,15,1
19,1997,Iowa,1989,1,1989,8,15,1
19,1998,Iowa,1989,1,1989,9,15,1
19,1999,Iowa,1989,1,1989,10,15,1
19,2000,Iowa,1989,1,1989,11,15,1
19,2001,Iowa,1989,1,1989,12,15,1
19,2002,Iowa,1989,1,1989,13,15,1
19,2003,Iowa,1989,1,1989,14,15,1
19,2004,Iowa,1989,1,1989,15,15,1
19,2005,Iowa,1989,1,1989,16,15,1
19,2006,Iowa,1989,1,1989,17,15,1
19,2007,Iowa,1989,1,1989,18,15,1
19,2008,Iowa,1989,1,1989,19,15,1
19,2009,Iowa,1989,1,1989,20,15,1
19,2010,Iowa,1989,1,1989,21,15,1
19,2011,Iowa,1989,1,1989,22,15,1
19,2012,Iowa,1989,1,1989,23,15,1
19,2013,Iowa,1989,1,1989,24,15,1
19,2014,Iowa,1989,1,1989,25,15,1
19,2015,Iowa,1989,1,1989,26,15,1
19,2016,Iowa,1989,1,1989,27,15,1
19,2017,Iowa,1989,1,1989,28,15,1
