rel_time,att,se,ci_lower,ci_upper
-24,150.71396396396392,110.35078645994909,-65.57357749753629,367.00150542546413
-23,115.84234234234239,98.45096632215726,-77.12155164908583,308.8062363337706
-22,51.51351351351347,95.49599004751703,-135.6586269796199,238.68565400664681
-21,3.0360360360359797,102.485434886564,-197.83541634162947,203.9074884137014
-20,10.734234234234265,96.48594079229174,-178.37820971865756,199.8466781871261
-19,40.740990990990994,100.79769784685915,-156.82249678885296,238.30447877083492
-18,37.63963963963961,96.67316128792656,-151.83975648469647,227.11903576397566
-17,75.40090090090087,95.68430856646536,-112.14034388937125,262.942145691173
-16,154.31981981981986,233.79715548735038,-303.92260493538686,612.5622445750266
-15,-9.759009009009024,103.77937263357065,-213.16657937080748,193.64856135278944
-14,-16.662162162162183,95.43083063664777,-203.70659020999182,170.38226588566744
-13,131.20720720720723,132.49167450301738,-128.4764748187068,390.89088923312124
-12,38.59234234234235,93.54735966027559,-144.76048259179782,221.9451672764825
-11,90.86711711711715,92.18175709030344,-89.80912677987757,271.54336101411184
-10,245.26126126126127,213.08514172750952,-172.3856165246574,662.9081390471799
-9,280.1126126126127,243.9216373830127,-197.97379665809217,758.1990218833175
-8,205.1148648648649,135.91181406501653,-61.27229070256749,471.5020204322973
-7,105.51126126126137,95.60903380383952,-81.8824449942641,292.9049675167868
-6,166.74099099099107,102.67640821530415,-34.50476911100506,367.9867510929872
-5,183.6801801801803,111.30708955880625,-34.481715355079956,401.8420757154405
-4,152.1171171171172,95.45754419013443,-34.97966949554626,339.21390372978067
-3,105.61036036036037,91.20152309978118,-73.14462491521076,284.3653456359315
-2,110.68918918918918,93.3022297159226,-72.18318105401913,293.5615594323975
-1,0,NA,NA,NA
0,112.04729729729732,62.45173050282026,-10.358094488230392,234.45268908282503
1,108.05630630630637,95.88575824092808,-79.87977984591268,295.9923924585254
2,33.675675675675635,96.7579347042838,-155.9698763447206,223.3212276960719
3,258.6576576576577,277.6031565676682,-285.44452921497196,802.7598445302874
4,306.20045045045055,306.88452782103093,-295.29322407877004,907.6941249796712
5,791.015765765766,583.5274705218766,-352.69807645711217,1934.7296079886441
6,36.907335907335884,129.49875395614802,-216.91022184671422,290.724893661386
7,78.66409266409266,127.11219337779563,-170.47580635638678,327.8039916845721
8,663.8378378378382,311.6727528609059,52.959242230462564,1274.7164334452136
9,548.0675675675677,216.72895465500545,123.27881644375702,972.8563186913784
10,777.0360360360368,564.3557653701538,-329.10126408946473,1883.1733361615384
11,691.2702702702711,701.1255492818208,-682.9358063220975,2065.4763468626397
12,281.7770270270271,68.00544217328502,148.48636036738844,415.06769368666573
13,157.13513513513522,92.91307822053702,-24.97449817711734,339.24476844738774
14,196.58108108108104,139.5516936624243,-76.94023849727057,470.10240065943265
15,170.60135135135135,178.1120086945039,-178.49818568987632,519.700888392579
16,307.21621621621597,221.98556829142368,-127.87549763497441,742.3079300674063
17,369.58108108108104,416.309477568715,-446.3854949536004,1185.5476571157624
18,107.99324324324326,155.95541741391335,-197.6793748880269,413.6658613745134
19,203.20720720720723,188.97937856872812,-167.19237478749986,573.6067892019144
20,219.55855855855845,237.06545948309366,-245.08974202830512,684.206859145422
21,315.0090090090091,204.54940931778214,-85.90783325384388,715.925851271862
22,303.8558558558559,252.37846252833089,-190.80593069967261,798.5176424113845
23,770.1081081081081,768.8611935897409,-736.8598313277839,2277.076047544
24,175.16216216216202,279.41041269296124,-372.48224671604197,722.806571040366
25,-27.837837837837828,270.3675138437853,-557.7581649716569,502.0824892959813
26,-11.189189189189138,336.0926022578731,-669.9306896146205,647.5523112362422
27,222.51351351351343,129.82786994481484,-31.949111578323652,476.9761386053505
28,79.86486486486484,115.901805717084,-147.3026743406198,307.03240407034946
29,323.40540540540536,86.18369945118745,154.48535448107796,492.3254563297328
